/* DATA DESCRIPTION:
Citation:	Singh, Dharmendra Pratap (2026): δ¹⁵N and TN records of sediment core SSD004 GC11 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.993903, 
	In: Singh, DP (2026): Basin-scale Arabian Sea denitrification reconstruction based on δ¹⁵N records including core SSD004 GC11 [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.993898
Abstract:	This dataset provides nitrogen isotopic composition (δ¹⁵N) and total nitrogen (TN) measurements from marine sediment core SSD004 GC11 in the southern Arabian Sea covering the last ~167 ka. The records document variability in water-column denitrification, an important control on marine nitrogen cycling and atmospheric N₂O emissions. δ¹⁵N values indicate strong coupling between primary productivity and denitrification during warm intervals, with weaker coupling during cold periods despite continued productivity linked to winter monsoon mixing.
Keyword(s):	Arabian Sea; d15N; Sedimentary geochemistry; Stack; TN
Related to:	Pawar, Rahul; Singh, Dharmendra Pratap; Saraswat, Rajeev; Maurya, Abhayanand Singh (2026): Orbital forcing regulated Arabian Sea denitrification during the late Pleistocene. Global and Planetary Change, 259, 105373, https://doi.org/10.1016/j.gloplacha.2026.105373
Funding:	Science and Engineering Research Board (SERB), grant/award no. SRG/2021/000620
Coverage:	LATITUDE: 6.000000 * LONGITUDE: 78.931200
	MINIMUM DEPTH, sediment/rock: 0.005 m * MAXIMUM DEPTH, sediment/rock: 5.835 m
Event(s):	SSD004_GC11 * LATITUDE: 6.000000 * LONGITUDE: 78.931200 * ELEVATION: -2901.0 m * BASIS: Sindhu Sadhana (URI: https://www.nio.res.in/research/research-vessels/rv-sindhu-sadhana) * METHOD/DEVICE: Gravity corer (GC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	Depth, sediment/rock, top/minimum [m] (Depth sed top) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	Depth, sediment/rock, bottom/maximum [m] (Depth sed bot) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	AGE [ka BP] (Age) * GEOCODE * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
	δ15N, bulk sediment [‰ air] (δ15N bulk) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS) Thermo Fisher Scientific, MAT 253 Plus
	Nitrogen, total [%] (TN) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS) Thermo Fisher Scientific, MAT 253 Plus * COMMENT: wt. %
	Tephra/volcanic ash (Tephra) * PI: Singh, Dharmendra Pratap (https://orcid.org/0000-0001-5563-1633, dharmendra.singh@es.iitr.ac.in)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	2333 data points
*/
Depth sed [m]	Depth sed top [m]	Depth sed bot [m]	Age [ka BP]	δ15N bulk [‰ air]	TN [%]	Tephra
4.225	4.22	4.23	124.69	6.97	0.10	
4.235	4.23	4.24	124.96	6.84	0.10	
4.245	4.24	4.25	125.23	7.20	0.10	
4.255	4.25	4.26	125.50	6.89	0.09	
4.265	4.26	4.27	125.84	7.16	0.09	
4.275	4.27	4.28	126.17	6.76	0.10	
4.285	4.28	4.29	126.44	6.90	0.09	
4.295	4.29	4.30	126.72	6.94	0.09	
4.305	4.30	4.31	126.99	6.65	0.09	
4.315	4.31	4.32	127.26	7.25	0.09	
4.325	4.32	4.33	127.48	7.39	0.09	
4.335	4.33	4.34	127.71	6.76	0.08	
4.345	4.34	4.35	127.96	6.99	0.08	
4.355	4.35	4.36	128.24	7.18	0.07	
4.365	4.36	4.37	128.64	7.29	0.08	
4.375	4.37	4.38	129.10	7.57	0.08	
4.385	4.38	4.39	129.65	6.37	0.08	
4.395	4.39	4.40	130.18	7.74	0.07	
4.405	4.40	4.41	130.89	6.89	0.06	
4.415	4.41	4.42	131.27	7.30	0.07	
4.425	4.42	4.43	131.51	6.62	0.07	
4.435	4.43	4.44	131.91	6.52	0.07	
4.445	4.44	4.45	132.16	6.87	0.07	
4.455	4.45	4.46	132.47	6.56	0.07	
4.465	4.46	4.47	133.01	6.35	0.07	
4.475	4.47	4.48	133.27	6.47	0.07	
4.485	4.48	4.49	133.45	5.93	0.07	
4.495	4.49	4.50	133.62	5.76	0.07	
4.505	4.50	4.51	133.80	5.62	0.08	
4.515	4.51	4.52	133.98	6.74	0.06	
4.525	4.52	4.53	134.19	6.94	0.07	
4.535	4.53	4.54	134.40	7.03	0.07	
4.545	4.54	4.55	134.64	7.06	0.07	
4.555	4.55	4.56	134.87	6.80	0.09	
4.565	4.56	4.57	135.17	6.84	0.09	
4.575	4.57	4.58	135.47	6.82	0.11	
4.585	4.58	4.59	135.77	6.49	0.12	
4.595	4.59	4.60	136.05	6.96	0.14	
4.605	4.60	4.61	136.36	6.49	0.14	
4.615	4.61	4.62	136.68	6.71	0.12	
4.625	4.62	4.63	137.01	6.99	0.12	
4.635	4.63	4.64	137.37	6.82	0.13	
4.645	4.64	4.65	137.88	6.76	0.13	
4.655	4.65	4.66	138.56	6.84	0.13	
4.665	4.66	4.67	139.17	6.70	0.13	
4.675	4.67	4.68	139.76	6.37	0.13	
4.685	4.68	4.69	140.17	6.53	0.10	
4.695	4.69	4.70	140.53	6.54	0.12	
4.705	4.70	4.71	140.76	6.66	0.13	
4.715	4.71	4.72	141.00	6.48	0.10	
4.725	4.72	4.73	141.21	6.98	0.11	
4.735	4.73	4.74	141.41	6.99	0.10	
4.745	4.74	4.75	141.61	6.91	0.10	
4.755	4.75	4.76	141.79	7.13	0.11	
4.765	4.76	4.77	141.99	7.22	0.11	
4.775	4.77	4.78	142.17	7.11	0.11	
4.785	4.78	4.79	142.36	7.19	0.11	
4.795	4.79	4.80	142.53	7.06	0.11	
4.805	4.80	4.81	142.72	7.25	0.11	
4.815	4.81	4.82	142.93	7.07	0.12	
4.825	4.82	4.83	143.10	7.14	0.10	
4.835	4.83	4.84	143.30	7.31	0.11	
4.845	4.84	4.85	143.50	7.23	0.11	
4.855	4.85	4.86	143.72	7.28	0.11	
4.865	4.86	4.87	143.92	7.56	0.11	
4.875	4.87	4.88	144.14	8.16	0.10	
4.885	4.88	4.89	144.37	7.41	0.10	
4.895	4.89	4.90	144.61	7.31	0.09	
4.905	4.90	4.91	144.82	7.74	0.10	
4.915	4.91	4.92	145.04	7.79	0.10	
4.925	4.92	4.93	145.25	7.55	0.11	
4.935	4.93	4.94	145.47	7.33	0.10	
4.945	4.94	4.95	145.68	7.28	0.09	
4.955	4.95	4.96	145.89	7.26	0.10	
4.965	4.96	4.97	146.13	7.23	0.11	
4.975	4.97	4.98	146.36	7.06	0.10	
4.985	4.98	4.99	146.58	7.46	0.10	
4.995	4.99	5.00	146.80	7.57	0.09	
5.005	5.00	5.01	147.03	7.45	0.10	
5.015	5.01	5.02	147.26	7.57	0.10	
5.025	5.02	5.03	147.48	7.22	0.10	
5.035	5.03	5.04	147.71	6.79	0.10	
5.045	5.04	5.05	147.90	6.96	0.09	
5.055	5.05	5.06	148.09	6.95	0.09	
5.065	5.06	5.07	148.30	7.03	0.09	
5.075	5.07	5.08	148.51	6.42	0.09	
5.085	5.08	5.09	148.70	6.88	0.09	
5.095	5.09	5.10	148.90	7.28	0.09	
5.105	5.10	5.11	149.14	6.72	0.09	
5.115	5.11	5.12	149.36	6.61	0.09	
5.125	5.12	5.13	149.56	7.13	0.08	
5.135	5.13	5.14	149.77	7.15	0.08	
5.145	5.14	5.15	149.96	7.14	0.08	
5.155	5.15	5.16	150.16	6.83	0.09	
5.165	5.16	5.17	150.39	7.45	0.08	
5.175	5.17	5.18	150.60	7.22	0.08	
5.185	5.18	5.19	150.82	6.71	0.08	
5.195	5.19	5.20	151.04	7.76	0.08	
5.205	5.20	5.21	151.26	7.21	0.08	
5.215	5.21	5.22	151.50	6.81	0.08	
5.225	5.22	5.23	151.73	6.44	0.08	
5.235	5.23	5.24	151.97	6.45	0.08	
5.245	5.24	5.25	152.25	6.31	0.08	
5.255	5.25	5.26	152.53	6.45	0.08	
5.265	5.26	5.27	152.96	6.31	0.08	
5.275	5.27	5.28	153.49	6.25	0.09	
5.285	5.28	5.29	154.04	6.86	0.08	
5.295	5.29	5.30	154.60	6.93	0.09	
5.305	5.30	5.31	154.99	6.54	0.09	
5.315	5.31	5.32	155.33	6.77	0.09	
5.325	5.32	5.33	155.54	7.11	0.10	
5.335	5.33	5.34	155.70	6.77	0.10	
5.345	5.34	5.35	155.96	6.92	0.10	
5.355	5.35	5.36	156.22	7.09	0.10	
5.365	5.36	5.37	156.47	6.54	0.10	
5.375	5.37	5.38	156.68	6.83	0.10	
5.385	5.38	5.39	156.91	6.63	0.10	
5.395	5.39	5.40	157.11	7.11	0.10	
5.405	5.40	5.41	157.32	7.37	0.10	
5.415	5.41	5.42	157.52	6.93	0.11	
5.425	5.42	5.43	157.75	7.32	0.11	
5.435	5.43	5.44	157.95	6.83	0.11	
5.445	5.44	5.45	158.15	6.99	0.11	
5.455	5.45	5.46	158.35	7.17	0.11	
5.465	5.46	5.47	158.55	7.40	0.11	
5.475	5.47	5.48	158.76	7.30	0.11	
5.485	5.48	5.49	158.97	7.18	0.10	
5.495	5.49	5.50	159.15	7.53	0.09	
5.505	5.50	5.51	159.34	7.48	0.09	
5.515	5.51	5.52	159.55	7.31	0.10	
5.525	5.52	5.53	159.76	8.05	0.10	
5.535	5.53	5.54	159.96	7.35	0.10	
5.545	5.54	5.55	160.18	7.79	0.10	
5.555	5.55	5.56	160.38	7.33	0.10	
5.565	5.56	5.57	160.59	7.56	0.10	
5.575	5.57	5.58	160.79	7.37	0.10	
5.585	5.58	5.59	161.00	7.38	0.11	
5.595	5.59	5.60	161.20	7.56	0.10	
5.605	5.60	5.61	161.41	7.98	0.10	
5.615	5.61	5.62	161.63	7.55	0.10	
5.625	5.62	5.63	161.82	7.44	0.10	
5.635	5.63	5.64	162.02	7.73	0.10	
5.645	5.64	5.65	162.23	7.36	0.10	
5.655	5.65	5.66	162.45	7.41	0.09	
5.665	5.66	5.67	162.65	6.94	0.08	
5.675	5.67	5.68	162.86	7.54	0.09	
5.685	5.68	5.69	163.07	6.76	0.10	
5.695	5.69	5.70	163.29	6.92	0.10	
5.705	5.70	5.71	163.53	6.87	0.11	
5.715	5.71	5.72	163.77	7.21	0.11	
5.725	5.72	5.73	164.04	8.20	0.10	
5.735	5.73	5.74	164.32	7.61	0.10	
5.745	5.74	5.75	164.62	7.48	0.11	
5.755	5.75	5.76	164.91	7.60	0.11	
5.765	5.76	5.77	165.21	7.75	0.11	
5.775	5.77	5.78	165.54	7.51	0.11	
5.785	5.78	5.79	165.76	7.44	0.11	
5.795	5.79	5.80	165.97	8.08	0.11	
5.805	5.80	5.81	166.32	8.32	0.11	
5.815	5.81	5.82	166.68	8.22	0.10	
5.825	5.82	5.83	166.96	7.47	0.12	
5.835	5.83	5.84	167.26	7.29	0.12	
